Provincias,Periodo,Total,Sexo,Tipo sexo,Tipo rel,Tipo de divorcio,Tipo separacion,Tipo de separación,Tipo de matrimonio
Total,2020,87481,Mujer-Hombre,distinto,matrimonio,,,,
Total,2019,161389,Mujer-Hombre,distinto,matrimonio,,,,
Total,2018,162743,Mujer-Hombre,distinto,matrimonio,,,,
Total,2017,168989,Mujer-Hombre,distinto,matrimonio,,,,
Total,2016,171023,Mujer-Hombre,distinto,matrimonio,,,,
Total,2015,165172,Mujer-Hombre,distinto,matrimonio,,,,
Total,2014,159279,Mujer-Hombre,distinto,matrimonio,,,,
Total,2013,153375,Mujer-Hombre,distinto,matrimonio,,,,
Total,2012,165101,Mujer-Hombre,distinto,matrimonio,,,,
Total,2011,159798,Mujer-Hombre,distinto,matrimonio,,,,
Total,2010,167247,Mujer-Hombre,distinto,matrimonio,,,,
Total,2009,174062,Mujer-Hombre,distinto,matrimonio,,,,
Total,2008,194022,Mujer-Hombre,distinto,matrimonio,,,,
Total,2007,201579,Mujer-Hombre,distinto,matrimonio,,,,
Total,2006,203453,Mujer-Hombre,distinto,matrimonio,,,,
Total,2005,208146,Mujer-Hombre,distinto,matrimonio,,,,
Total,2020,1685,Mujeres,mismo,matrimonio,,,,
Total,2019,2649,Mujeres,mismo,matrimonio,,,,
Total,2018,2512,Mujeres,mismo,matrimonio,,,,
Total,2017,2314,Mujeres,mismo,matrimonio,,,,
Total,2016,2132,Mujeres,mismo,matrimonio,,,,
Total,2015,1813,Mujeres,mismo,matrimonio,,,,
Total,2014,1596,Mujeres,mismo,matrimonio,,,,
Total,2013,1423,Mujeres,mismo,matrimonio,,,,
Total,2012,1520,Mujeres,mismo,matrimonio,,,,
Total,2011,1467,Mujeres,mismo,matrimonio,,,,
Total,2010,1238,Mujeres,mismo,matrimonio,,,,
Total,2009,1098,Mujeres,mismo,matrimonio,,,,
Total,2008,1143,Mujeres,mismo,matrimonio,,,,
Total,2007,1052,Mujeres,mismo,matrimonio,,,,
Total,2006,1313,Mujeres,mismo,matrimonio,,,,
Total,2005,355,Mujeres,mismo,matrimonio,,,,
Total,2020,1504,Hombres,mismo,matrimonio,,,,
Total,2019,2492,Hombres,mismo,matrimonio,,,,
Total,2018,2358,Hombres,mismo,matrimonio,,,,
Total,2017,2323,Hombres,mismo,matrimonio,,,,
Total,2016,2188,Hombres,mismo,matrimonio,,,,
Total,2015,1925,Hombres,mismo,matrimonio,,,,
Total,2014,1679,Hombres,mismo,matrimonio,,,,
Total,2013,1648,Hombres,mismo,matrimonio,,,,
Total,2012,1935,Hombres,mismo,matrimonio,,,,
Total,2011,2073,Hombres,mismo,matrimonio,,,,
Total,2010,1955,Hombres,mismo,matrimonio,,,,
Total,2009,1984,Hombres,mismo,matrimonio,,,,
Total,2008,2051,Hombres,mismo,matrimonio,,,,
Total,2007,2141,Hombres,mismo,matrimonio,,,,
Total,2006,3000,Hombres,mismo,matrimonio,,,,
Total,2005,914,Hombres,mismo,matrimonio,,,,
Total,2021,142788,Mujer-Hombre,distinto,matrimonio,,,,
Total,2021,2158,Hombres,mismo,matrimonio,,,,
Total,2021,2877,Mujeres,mismo,matrimonio,,,,
,2021,66969,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2020,61766,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2019,71370,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2018,73029,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2017,74758,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2016,72959,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2015,72529,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2014,75908,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2013,71499,Mujer-Hombre,distinto,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2021,18209,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2020,14338,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2019,19176,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2018,21083,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2017,22164,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2016,22542,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2015,23156,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2014,23974,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2013,23386,Mujer-Hombre,distinto,divorcio,Divorcio contencioso,contencioso,,
,2021,800,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2020,469,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2019,455,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2018,502,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2017,420,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2016,749,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2015,425,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2014,410,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2013,274,Hombres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2021,680,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2020,502,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2019,473,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2018,449,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2017,438,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2016,454,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2015,324,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2014,328,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2013,187,Mujeres,mismo,divorcio,Divorcio de mutuo acuerdo,acuerdo,,
,2021,100,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2020,75,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2019,104,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2018,94,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2017,106,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2016,71,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2015,64,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2014,73,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2013,47,Hombres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2021,92,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2020,48,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2019,67,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2018,97,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2017,74,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2016,49,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2015,64,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2014,53,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2013,34,Mujeres,mismo,divorcio,Divorcio contencioso,contencioso,,
,2021,63,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2020,2,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2019,19,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2018,8,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2017,15,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2016,34,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2015,8,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2014,8,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2013,4,,mismo,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas del mismo sexo
,2021,3166,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2020,2467,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2019,3101,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2018,3480,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2017,3573,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2016,3672,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2015,4005,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2014,4299,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2013,4106,,distinto,separacion,,acuerdo,Separación de mutuo acuerdo,Entre personas de distinto sexo
,2021,4,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2020,2,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2019,0,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2018,3,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2017,10,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2016,3,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2015,2,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2014,1,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2013,0,,mismo,separacion,,contencioso,Separación contenciosa,Entre personas del mismo sexo
,2021,440,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2020,304,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2019,479,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2018,607,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2017,683,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2016,645,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2015,637,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2014,726,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2013,790,,distinto,separacion,,contencioso,Separación contenciosa,Entre personas de distinto sexo
,2021,0,,mismo,nulidad,,,,Entre personas del mismo sexo
,2020,1,,mismo,nulidad,,,,Entre personas del mismo sexo
,2019,4,,mismo,nulidad,,,,Entre personas del mismo sexo
,2018,2,,mismo,nulidad,,,,Entre personas del mismo sexo
,2017,0,,mismo,nulidad,,,,Entre personas del mismo sexo
,2016,2,,mismo,nulidad,,,,Entre personas del mismo sexo
,2015,6,,mismo,nulidad,,,,Entre personas del mismo sexo
,2014,0,,mismo,nulidad,,,,Entre personas del mismo sexo
,2013,3,,mismo,nulidad,,,,Entre personas del mismo sexo
,2021,57,,distinto,nulidad,,,,Entre personas de distinto sexo
,2020,39,,distinto,nulidad,,,,Entre personas de distinto sexo
,2019,71,,distinto,nulidad,,,,Entre personas de distinto sexo
,2018,90,,distinto,nulidad,,,,Entre personas de distinto sexo
,2017,100,,distinto,nulidad,,,,Entre personas de distinto sexo
,2016,115,,distinto,nulidad,,,,Entre personas de distinto sexo
,2015,138,,distinto,nulidad,,,,Entre personas de distinto sexo
,2014,113,,distinto,nulidad,,,,Entre personas de distinto sexo
,2013,107,,distinto,nulidad,,,,Entre personas de distinto sexo
